item_id,bio,bio_spr,critical_short,critical,critical_spill,,asterisk,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name,gender,life_status,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,She*received*prestigious*activism awards.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.",,Her charitable work ,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Mother Teresa,female,dead,critical,PS,deadPS,1,no,receive,131123,crit,crit
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani*activist.*She*lives*in Birmingham.,She*has received*prestigious*activism awards.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.",,,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Malala,female,living,critical,PP,livingPP,2,yes,receive,131012,crit,crit
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani*activist.*She*lives*in Birmingham.,She*received*prestigious*activism awards.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.",,,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Malala,female,living,critical,PS,livingPS,3,yes,receive,131021,crit,crit
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,She*has received*prestigious*activism awards.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.",,,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Mother Teresa,female,dead,critical,PP,deadPP,4,no,receive,131114,crit,crit
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She*died*in Paris.,She*has released*well-received*movies.,"She*has released*well-received*movies,*according to*her biographer.",,,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Romy Schneider,female,dead,critical,PP,deadPP,1,no,release,135114,crit,crit
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She*died*in Paris.,She*released*well-received*movies.,"She*released*well-received*movies,*according to*her biographer.",,,4,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Romy Schneider,female,dead,critical,PS,deadPS,2,no,release,135123,crit,crit
35,Meryl Streep is an American actor. She lives in Conneticut.,Meryl Streep*is*an American*actor.*She*lives*in Conneticut.,She*has released*well-received*movies.,"She*has released*well-received*movies,*according to*her biographer.",,,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Meryl Streep,female,living,critical,PP,livingPP,3,yes,release,135012,crit,crit
35,Meryl Streep is an American actor. She lives in Conneticut.,Meryl Streep*is*an American*actor.*She*lives*in Conneticut.,She*released*well-received*movies.,"She*released*well-received*movies,*according to*her biographer.",,,4,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Meryl Streep,female,living,critical,PS,livingPS,4,yes,release,135021,crit,crit
39,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She*lives*in Scotland.,She*released*critically acclaimed*novels.,"She*released*critically acclaimed*novels,*as stated on*her website.",,,4,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,J.K. Rowling,female,living,critical,PS,livingPS,1,yes,release,139021,crit,crit
39,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She*died*in Oxfordshire.,She*has released*critically acclaimed*novels.,"She*has released*critically acclaimed*novels,*as stated on*her website.",,,4,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,Agatha Christie,female,dead,critical,PP,deadPP,2,no,release,139114,crit,crit
39,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She*died*in Oxfordshire.,She*released*critically acclaimed*novels.,"She*released*critically acclaimed*novels,*as stated on*her website.",,,4,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,Agatha Christie,female,dead,critical,PS,deadPS,3,no,release,139123,crit,crit
39,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She*lives*in Scotland.,She*has released*critically acclaimed*novels.,"She*has released*critically acclaimed*novels,*as stated on*her website.",,,4,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,J.K. Rowling,female,living,critical,PP,livingPP,4,yes,release,139012,crit,crit
42,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He*lives*in Santa Fe.,He*has sold*well-received*novels.,"He*has sold*well-received*novels,*as reported by*Wikipedia.",,,4,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,George R.R. Martin,male,living,critical,PP,livingPP,1,yes,sell,142013,crit,crit
42,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He*lives*in Santa Fe.,He*sold*well-received*novels.,"He*sold*well-received*novels,*as reported by*Wikipedia.",,,4,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,George R.R. Martin,male,living,critical,PS,livingPS,2,yes,sell,142024,crit,crit
42,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He*died*in Connecticut.,He*has sold*well-received*novels.,"He*has sold*well-received*novels,*as reported by*Wikipedia.",,,4,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,Mark Twain,male,dead,critical,PP,deadPP,3,no,sell,142111,crit,crit
42,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He*died*in Connecticut.,He*sold*well-received*novels.,"He*sold*well-received*novels,*as reported by*Wikipedia.",,,4,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,Mark Twain,male,dead,critical,PS,deadPS,4,no,sell,142122,crit,crit
45,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He*died*in Minnesota.,He*sold*popular*records.,"He*sold*popular*records,*so his*memoir says.",,,4,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Prince,male,dead,critical,PS,deadPS,1,no,sell,145124,crit,crit
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He*lives*in Los Angeles.,He*has sold*popular*records.,"He*has sold*popular*records,*so his*memoir says.",,,4,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Kendrick Lamar,male,living,critical,PP,livingPP,2,yes,sell,145011,crit,crit
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He*lives*in Los Angeles.,He*sold*popular*records.,"He*sold*popular*records,*so his*memoir says.",,,4,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Kendrick Lamar,male,living,critical,PS,livingPS,3,yes,sell,145022,crit,crit
45,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He*died*in Minnesota.,He*has sold*popular*records.,"He*has sold*popular*records,*so his*memoir says.",,,4,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Prince,male,dead,critical,PP,deadPP,4,no,sell,145113,crit,crit
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He*died*in Beverly Hills.,He*has starred*in critically acclaimed*film productions.,"He*has starred*in critically acclaimed*film productions,*according to*his website.",,,4,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,male,dead,critical,PP,deadPP,1,no,star,149113,crit,crit
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He*died*in Beverly Hills.,He*starred*in critically acclaimed*film productions.,"He*starred*in critically acclaimed*film productions,*according to*his website.",,,4,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,male,dead,critical,PS,deadPS,2,no,star,149124,crit,crit
49,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He*lives*in Los Angeles.,He*has starred*in critically acclaimed*film productions.,"He*has starred*in critically acclaimed*film productions,*according to*his website.",,,4,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Brad Pitt,male,living,critical,PP,livingPP,3,yes,star,149011,crit,crit
49,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He*lives*in Los Angeles.,He*starred*in critically acclaimed*film productions.,"He*starred*in critically acclaimed*film productions,*according to*his website.",,,4,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Brad Pitt,male,living,critical,PS,livingPS,4,yes,star,149022,crit,crit
54,Denzel Washington is an American actor. He lives in Los Angeles.,Denzel Washington*is*an American*actor.*He*lives*in Los Angeles.,He*starred*in well-received*dramas.,"He*starred*in well-received*dramas,*as stated on*Wikipedia.",,His ,4,He,starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He starred in well-received dramas in his career.,Denzel Washington,male,living,critical,PS,livingPS,1,yes,star,154024,crit,crit
54,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He*died*in London.,He*has starred*in well-received*dramas.,"He*has starred*in well-received*dramas,*as stated on*Wikipedia.",,,4,He,has starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He has starred in well-received dramas in his career.,Alan Rickman,male,dead,critical,PP,deadPP,2,no,star,154111,crit,crit
54,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He*died*in London.,He*starred*in well-received*dramas.,"He*starred*in well-received*dramas,*as stated on*Wikipedia.",,,4,He,starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He starred in well-received dramas in his career.,Alan Rickman,male,dead,critical,PS,deadPS,3,no,star,154122,crit,crit
54,Denzel Washington is an American actor. He lives in Los Angeles.,Denzel Washington*is*an American*actor.*He*lives*in Los Angeles.,He*has starred*in well-received*dramas.,"He*has starred*in well-received*dramas,*as stated on*Wikipedia.",,,4,He,has starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He has starred in well-received dramas in his career.,Denzel Washington,male,living,critical,PP,livingPP,4,yes,star,154013,crit,crit
57,Vladimir Putin is a Russian politician. He lives near Moscow.,Vladimir Putin*is*a Russian*politician.*He*lives*near Moscow.,He*has won*important*elections.,"He*has won*important*elections,*as reported by*his memoir.",,,4,He,has won,important,elections,through the years,as reported by,his memoir,0,important elections through the years.,He has won important elections through the years.,Vladimir Putin,male,living,critical,PP,livingPP,1,yes,win,157011,crit,crit
57,Vladimir Putin is a Russian politician. He lives near Moscow.,Vladimir Putin*is*a Russian*politician.*He*lives*near Moscow.,He*won*important*elections.,"He*won*important*elections,*as reported by*his memoir.",,,4,He,won,important,elections,through the years,as reported by,his memoir,0,important elections through the years.,He won important elections through the years.,Vladimir Putin,male,living,critical,PS,livingPS,2,yes,win,157022,crit,crit
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","Abraham Lincoln*was*an American*politician.*He*died*in Washington, D.C..",He*has won*important*elections.,"He*has won*important*elections,*as reported by*his memoir.",,,4,He,has won,important,elections,through the years,as reported by,his memoir,0,important elections through the years.,He has won important elections through the years.,Abraham Lincoln,male,dead,critical,PP,deadPP,3,no,win,157113,crit,crit
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","Abraham Lincoln*was*an American*politician.*He*died*in Washington, D.C..",He*won*important*elections.,"He*won*important*elections,*as reported by*his memoir.",,,4,He,won,important,elections,through the years,as reported by,his memoir,0,important elections through the years.,He won important elections through the years.,Abraham Lincoln,male,dead,critical,PS,deadPS,4,no,win,157124,crit,crit
63,Margaret Thatcher was a British politician. She died in London.,Margaret Thatcher*was*a British*politician.*She*died*in London.,She*won*well-deserved*re-elections.,"She*won*well-deserved*re-elections,*so her*biography states.",,Her first term as prime minister was made history.,4,She,won,well-deserved,re-elections,over time,so her,biography states,0,well-deserved re-elections over time.,She won well-deserved re-elections over time.,Margaret Thatcher,female,dead,critical,PS,deadPS,1,no,win,163123,crit,crit
63,Jacinda Ardern is a New Zealand politician. She lives in Wellington.,Jacinda Ardern*is*a New Zealand*politician.*She*lives*in Wellington.,She*has won*well-deserved*re-elections.,"She*has won*well-deserved*re-elections,*so her*biography states.",,Her first term as prime minister was made history.,4,She,has won,well-deserved,re-elections,over time,so her,biography states,0,well-deserved re-elections over time.,She has won well-deserved re-elections over time.,Jacinda Arden,female,living,critical,PP,livingPP,2,yes,win,163012,crit,crit
63,Jacinda Ardern is a New Zealand politician. She lives in Wellington.,Jacinda Ardern*is*a New Zealand*politician.*She*lives*in Wellington.,She*won*well-deserved*re-elections.,"She*won*well-deserved*re-elections,*so her*biography states.",,Her first term as prime minister was made history.,4,She,won,well-deserved,re-elections,over time,so her,biography states,0,well-deserved re-elections over time.,She won well-deserved re-elections over time.,Jacinda Arden,female,living,critical,PS,livingPS,3,yes,win,163021,crit,crit
63,Margaret Thatcher was a British politician. She died in London.,Margaret Thatcher*was*a British*politician.*She*died*in London.,She*has won*well-deserved*re-elections.,"She*has won*well-deserved*re-elections,*so her*biography states.",,Her first term as prime minister was made history.,4,She,has won,well-deserved,re-elections,over time,so her,biography states,0,well-deserved re-elections over time.,She has won well-deserved re-elections over time.,Margaret Thatcher,female,dead,critical,PP,deadPP,4,no,win,163114,crit,crit
65,Alfred Hitchcock was a British director. He died in Los Angeles.,Alfred Hitchcock*was*a British*director.*He*died*in Los Angeles.,He*has written*important*box office hits.,"He*has written*important*box office hits,*according to*Wikipedia.",,His productions quickly became classics.,4,He,has written,important,box office hits,in his lifetime,according to,Wikipedia,0,important box office hits in his lifetime.,He has written important box office hits in his lifetime.,Alfred Hitchcock,male,dead,critical,PP,deadPP,1,no,write,165113,crit,crit
65,Alfred Hitchcock was a British director. He died in Los Angeles.,Alfred Hitchcock*was*a British*director.*He*died*in Los Angeles.,He*wrote*important*box office hits.,"He*wrote*important*box office hits,*according to*Wikipedia.",,His productions quickly became classics.,4,He,wrote,important,box office hits,in his lifetime,according to,Wikipedia,0,important box office hits in his lifetime.,He wrote important box office hits in his lifetime.,Alfred Hitchcock,male,dead,critical,PS,deadPS,2,no,write,165124,crit,crit
65,Steven Spielberg is an American director. He lives in Los Angeles.,Steven Spielberg*is*an American*director.*He*lives*in Los Angeles.,He*has written*important*box office hits.,"He*has written*important*box office hits,*according to*Wikipedia.",,His productions quickly became classics.,4,He,has written,important,box office hits,in his lifetime,according to,Wikipedia,0,important box office hits in his lifetime.,He has written important box office hits in his lifetime.,Steven Spielberg,male,living,critical,PP,livingPP,3,yes,write,165011,crit,crit
